Country,Year,Indicador_ponderado.sum
ARGENTINA,2007,0.576134333598067
ARGENTINA,2011,0.510936865914637
ARGENTINA,2015,0.922655883410065
ARGENTINA,2019,0.835018163822829
BOLIVIA,2005,0.522212421532561
BOLIVIA,2009,0.476332149197434
BOLIVIA,2014,0.440318918540883
BOLIVIA,2019,0.574790533287039
BOLIVIA,2020,0.519207281320686
BRASIL,2006,0.289881237385464
BRASIL,2010,0.683917666345704
BRASIL,2014,0.659320030332287
BRASIL,2018,0.81821913396137
BRASIL,2022,0.614346241090401
CHILE,2005,0.548971670426242
CHILE,2009,0.769240625945438
CHILE,2013,0.652373881859635
CHILE,2017,0.717300088549444
CHILE,2021,0.815348123651454
COLOMBIA,2006,0.615442280872699
COLOMBIA,2010,0.581791805792462
COLOMBIA,2014,0.633791173300312
COLOMBIA,2018,0.90149380666621
COLOMBIA,2022,0.792282522756705
COSTA RICA,2006,0.491057773193167
COSTA RICA,2010,0.491591666752003
COSTA RICA,2014,0.509752336614979
COSTA RICA,2018,0.380028333855902
COSTA RICA,2022,0.514288967370963
ECUADOR,2006,0.493436023965044
ECUADOR,2009,0.506520662487918
ECUADOR,2013,0.610465606415233
ECUADOR,2017,0.584582638385011
ECUADOR,2021,0.621396495484949
EL SALVADOR,2004,0.492211363644585
EL SALVADOR,2009,0.558274949974338
EL SALVADOR,2014,0.241323278977887
EL SALVADOR,2019,0.419669686639841
GUATEMALA,2007,0.474334945090598
GUATEMALA,2011,0.4902616195227
GUATEMALA,2015,0.487796511861458
GUATEMALA,2019,0.499591806635913
HONDURAS,2005,0.539826606343908
HONDURAS,2009,0.53409998956147
HONDURAS,2013,0.49856634153408
HONDURAS,2017,0.738267610338644
HONDURAS,2021,0.45169603964236
MEXICO,2006,0.455729426008905
MEXICO,2012,0.176136110634581
MEXICO,2018,0.25396401833709
NICARAGUA,2006,0.506705600739555
NICARAGUA,2011,0.475289864002667
NICARAGUA,2016,0.469505015003051
NICARAGUA,2021,0.504808949576945
PANAMA,2004,0.504830781100687
PANAMA,2009,0.62420089057375
PANAMA,2014,0.638237811720023
PANAMA,2019,0.64855185243143
PARAGUAY,2008,0.731385182176952
PARAGUAY,2013,0.48120624315469
PARAGUAY,2018,0.453585230594601
PERU,2006,0.614402834985716
PERU,2011,0.590001262447852
PERU,2016,0.52162841349497
PERU,2021,0.728377356598967
REPÚBLICA DOMINICANA,2004,0.472867335342195
REPÚBLICA DOMINICANA,2008,0.474005353015405
REPÚBLICA DOMINICANA,2012,0.403010128643886
REPÚBLICA DOMINICANA,2016,0.435488297733939
REPÚBLICA DOMINICANA,2020,0.370679055126355
URUGUAY,2004,0.433118682874265
URUGUAY,2009,0.473267905154525
URUGUAY,2014,0.388568263495457
URUGUAY,2019,0.364165185209512
VENEZUELA,2006,0.673063039523943
VENEZUELA,2012,0.900890247422939
VENEZUELA,2013,0.84766566672342
VENEZUELA,2018,0.899777274365351
