Candidate,Party,Date,GEO_code,Year,Votes_perc,hits.candidate,hits.party,indicador
'Fernández','Todos',2019-04-30 2019-10-27,AR,2019,0.471587022386763,1703,568,0.749889916336416
'Macri','Juntos',2019-04-30 2019-10-27,AR,2019,0.41374992095477,2523,56,0.978286157425359
'Lavagna','Consenso Federal',2019-04-30 2019-10-27,AR,2019,0.0613871859968961,927,118,0.887081339712919
'Del Caño','Frente de Izquierda',2019-04-30 2019-10-27,AR,2019,0.0215586628751755,1182,746,0.613070539419087
'Gómez Centurión','NOS',2019-04-30 2019-10-27,AR,2019,0.01704496159658,480,1104,0.303030303030303
'Espert','UNITE',2019-04-30 2019-10-27,AR,2019,0.0146722461898152,827,171,0.828657314629259
'Macri','Cambiemos',2015-04-28 2015-10-25,AR,2015,0.341528,2398,213,0.918422060513213
'Scioli','FpV',2015-04-28 2015-10-25,AR,2015,0.370807,2530,151,0.943677732189482
'Massa','Unidos',2015-04-28 2015-10-25,AR,2015,0.213903,1723,281,0.859780439121757
'Del Caño','Frente de Izquierda',2015-04-28 2015-10-25,AR,2015,0.032263,1425,1358,0.51203736974488
'Stolbizer','Progresistas',2015-04-28 2015-10-25,AR,2015,0.025117,1423,206,0.87354205033763
'Rodriguez Saa','Compromiso Federal',2015-04-28 2015-10-25,AR,2015,0.016382,1510,446,0.7719836400818
'Fernández','Frente para la Victoria',2011-04-26 2011-10-23,AR,2011,0.541109,1162,2303,0.335353535353535
'Binner','FAP',2011-04-26 2011-10-23,AR,2011,0.168054,981,115,0.89507299270073
'Alfonsín','Alianza',2011-04-26 2011-10-23,AR,2011,0.111414,1102,1389,0.44239261340827
'Rodriguez Saa','Compromiso Federal',2011-04-26 2011-10-23,AR,2011,0.079597,896,277,0.76385336743393
'Duhalde','Frente Popular',2011-04-26 2011-10-23,AR,2011,0.058641,1635,356,0.821195379206429
'Altamira','Frente de Izquierda',2011-04-26 2011-10-23,AR,2011,0.022956,1505,930,0.618069815195072
'Carrió','Coalición Cívica',2011-04-26 2011-10-23,AR,2011,0.018228,1583,886,0.64115026326448
'Fernández','FpV',2007-05-01 2007-10-28,AR,2007,0.45283,1027,1073,0.489047619047619
'Carrió','Coalición Cívica',2007-05-01 2007-10-28,AR,2007,0.230471,1510,832,0.644748078565329
'Lavagna','UNA',2007-05-01 2007-10-28,AR,2007,0.169059,1354,957,0.585893552574643
'Rodriguez Saa','FREJULI',2007-05-01 2007-10-28,AR,2007,0.076368,2158,1328,0.619047619047619
'Solanas','PSA',2007-05-01 2007-10-28,AR,2007,0.015782,1532,852,0.64261744966443
'Sobisch','MPU',2007-05-01 2007-10-28,AR,2007,0.014047,1718,1292,0.570764119601329
'López Murphy','Recrear',2007-05-01 2007-10-28,AR,2007,0.014309,1185,957,0.553221288515406
'Ripoll','Movimiento Socialista',2007-05-01 2007-10-28,AR,2007,0.007459,880,661,0.571057754704737
'Pitrola','Partido Obrero',2007-05-01 2007-10-28,AR,2007,0.006107,919,902,0.504667764964305
'Montes','Frente de Izquierda',2007-05-01 2007-10-28,AR,2007,0.004433,1439,1306,0.524225865209472
'Ammann','Frente Amplio',2007-05-01 2007-10-28,AR,2007,0.003652,1202,1192,0.502088554720134
'Castells','Movimiento de Jubilados',2007-05-01 2007-10-28,AR,2007,0.002558,1063,0,1
'Breide','PPR',2007-05-01 2007-10-28,AR,2007,0.002372,1264,1119,0.530423835501469
'Mussa','Lealtad Popular',2007-05-01 2007-10-28,AR,2007,0.000553,2057,0,1
'Arce','MAS',2020-04-21 2020-10-18,BO,2020,0.551053048840184,1233,1696,0.420962785933766
'Mesa','FRI',2020-04-21 2020-10-18,BO,2020,0.288340990428807,208,64,0.764705882352941
'Camacho','Creemos',2020-04-21 2020-10-18,BO,2020,0.139983189405266,1156,1115,0.509026860413915
'Chung','FpV',2020-04-21 2020-10-18,BO,2020,0.0154654549097279,832,1136,0.422764227642276
'Mamani','PAN',2020-04-21 2020-10-18,BO,2020,0.00515731641601497,1130,1035,0.521939953810624
'Morales','MAS',2019-04-23 2019-10-20,BO,2019,0.470758207795758,1081,1461,0.425255704169945
'Mesa','FRI',2019-04-23 2019-10-20,BO,2019,0.365109175776936,239,124,0.658402203856749
'Chung','PDC',2019-04-23 2019-10-20,BO,2019,0.0878315243681194,1260,1005,0.556291390728477
'Ortiz','MDS',2019-04-24 2019-10-21,BO,2019,0.042412830534579,1645,1348,0.549615770130304
'Patzi','Tercer sistema',2019-04-25 2019-10-22,BO,2019,0.0125172887240127,1436,778,0.648599819331527
'Lema','MNR',2019-04-26 2019-10-23,BO,2019,0.00689740456925762,1158,1246,0.481697171381032
'Nina','Acción Nacional',2019-04-27 2019-10-24,BO,2019,0.00648878051625771,1389,0,1
'Cárdenas','UCS',2019-04-28 2019-10-25,BO,2019,0.00411931496491096,1365,1102,0.553303607620592
'Rodriguez','FPV',2019-04-23 2019-10-20,BO,2019,0.00386547275016859,1135,1260,0.473903966597077
'Morales','MAS',2014-04-15 2014-10-12,BO,2014,0.613622,949,1258,0.429995468962392
'Doria','UN',2014-04-15 2014-10-12,BO,2014,0.242349,869,1348,0.391971132160577
'Quiroga','PDC',2014-04-15 2014-10-12,BO,2014,0.090364,714,869,0.451042324699937
'Granado','MSM',2014-04-15 2014-10-12,BO,2014,0.027127,1074,933,0.535127055306428
'Vargas','PVB',2014-04-15 2014-10-12,BO,2014,0.026538,883,697,0.558860759493671
