Candidate,Party,Date,GEO_code,Year,Votes_perc,hits.candidate,hits.party,indicador
'Fernández','Todos',2019-04-30 2019-10-27,AR,2019,0.471587022386763,1735,548,0.759964958388086
'Macri','Juntos',2019-04-30 2019-10-27,AR,2019,0.41374992095477,2546,67,0.974358974358974
'Lavagna','Consenso Federal',2019-04-30 2019-10-27,AR,2019,0.0613871859968961,942,100,0.904030710172745
'Del Caño','Frente de Izquierda',2019-04-30 2019-10-27,AR,2019,0.0215586628751755,1225,606,0.669033315128345
'Gómez Centurión','NOS',2019-04-30 2019-10-27,AR,2019,0.01704496159658,490,1414,0.257352941176471
'Espert','UNITE',2019-04-30 2019-10-27,AR,2019,0.0146722461898152,835,175,0.826732673267327
'Macri','Cambiemos',2015-04-28 2015-10-25,AR,2015,0.341528,2376,172,0.932496075353218
'Scioli','FpV',2015-04-28 2015-10-25,AR,2015,0.370807,2523,132,0.950282485875706
'Massa','Unidos',2015-04-28 2015-10-25,AR,2015,0.213903,1626,289,0.849086161879896
'Del Caño','Frente de Izquierda',2015-04-28 2015-10-25,AR,2015,0.032263,1509,1059,0.587616822429907
'Stolbizer','Progresistas',2015-04-28 2015-10-25,AR,2015,0.025117,1403,194,0.878522229179712
'Rodriguez Saa','Compromiso Federal',2015-04-28 2015-10-25,AR,2015,0.016382,1759,728,0.707277844792923
'Fernández','Frente para la Victoria',2011-04-26 2011-10-23,AR,2011,0.541109,925,1971,0.319406077348066
'Binner','FAP',2011-04-26 2011-10-23,AR,2011,0.168054,954,132,0.878453038674033
'Alfonsín','Alianza',2011-04-26 2011-10-23,AR,2011,0.111414,1530,1499,0.50511720039617
'Rodriguez Saa','Compromiso Federal',2011-04-26 2011-10-23,AR,2011,0.079597,907,256,0.7798796216681
'Duhalde','Frente Popular',2011-04-26 2011-10-23,AR,2011,0.058641,1441,197,0.87973137973138
'Altamira','Frente de Izquierda',2011-04-26 2011-10-23,AR,2011,0.022956,1371,1059,0.564197530864198
'Carrió','Coalición Cívica',2011-04-26 2011-10-23,AR,2011,0.018228,1347,1175,0.534099920697859
'Fernández','FpV',2007-05-01 2007-10-28,AR,2007,0.45283,1372,1495,0.478549005929543
'Carrió','Coalición Cívica',2007-05-01 2007-10-28,AR,2007,0.230471,1500,1185,0.558659217877095
'Lavagna','UNA',2007-05-01 2007-10-28,AR,2007,0.169059,1406,1167,0.546443839875632
'Rodriguez Saa','FREJULI',2007-05-01 2007-10-28,AR,2007,0.076368,1265,966,0.567010309278351
'Solanas','PSA',2007-05-01 2007-10-28,AR,2007,0.015782,1054,808,0.566058002148228
'Sobisch','MPU',2007-05-01 2007-10-28,AR,2007,0.014047,2275,923,0.711382113821138
'López Murphy','Recrear',2007-05-01 2007-10-28,AR,2007,0.014309,1295,710,0.645885286783042
'Ripoll','Movimiento Socialista',2007-05-01 2007-10-28,AR,2007,0.007459,687,513,0.5725
'Pitrola','Partido Obrero',2007-05-01 2007-10-28,AR,2007,0.006107,1206,1204,0.500414937759336
'Montes','Frente de Izquierda',2007-05-01 2007-10-28,AR,2007,0.004433,1133,1345,0.457223567393059
'Ammann','Frente Amplio',2007-05-01 2007-10-28,AR,2007,0.003652,1079,1368,0.440948099713935
'Castells','Movimiento de Jubilados',2007-05-01 2007-10-28,AR,2007,0.002558,1985,0,1
'Breide','PPR',2007-05-01 2007-10-28,AR,2007,0.002372,693,748,0.480916030534351
'Mussa','Lealtad Popular',2007-05-01 2007-10-28,AR,2007,0.000553,801,0,1
'Arce','MAS',2020-04-21 2020-10-18,BO,2020,0.551053048840184,1243,1744,0.416136591898226
'Mesa','FRI',2020-04-21 2020-10-18,BO,2020,0.288340990428807,228,52,0.814285714285714
'Camacho','Creemos',2020-04-21 2020-10-18,BO,2020,0.139983189405266,1594,1583,0.501731192949323
'Chung','FpV',2020-04-21 2020-10-18,BO,2020,0.0154654549097279,1161,836,0.581372058087131
