Country,Year,Index_ponderado.sum
ARGENTINA,2007,0.663263260508538
ARGENTINA,2011,0.447280831843699
ARGENTINA,2015,0.741336843351069
ARGENTINA,2019,0.79644998375171
BOLIVIA,2005,0.557371509093346
BOLIVIA,2009,0.740987648645326
BOLIVIA,2014,0.456969373884819
BOLIVIA,2019,0.000907470393157668
BOLIVIA,2020,0.477680003853349
BRASIL,2006,0.552504651268082
BRASIL,2010,0.905958686986691
BRASIL,2014,0.955571655444834
BRASIL,2018,0.856263640969575
BRASIL,2022,0.719649279691306
CHILE,2005,0.443259814716257
CHILE,2009,0.623687875283447
CHILE,2013,0.405338966856173
CHILE,2017,0.0597760941769171
CHILE,2021,0.485321951510256
COLOMBIA,2006,0.533617258244902
COLOMBIA,2010,0.513672198378859
COLOMBIA,2014,0.525939258393097
COLOMBIA,2018,0.616058751857178
COLOMBIA,2022,0.891732888410857
COSTA RICA,2006,0.536490915765023
COSTA RICA,2010,0.447686511691402
COSTA RICA,2014,0.278920126412706
COSTA RICA,2018,0.536905966705561
COSTA RICA,2022,0.405431975327009
ECUADOR,2006,0.638409004459046
ECUADOR,2009,0.949236022687609
ECUADOR,2013,0.849407858538173
ECUADOR,2017,0.704895986956557
ECUADOR,2021,0.588974042957535
EL SALVADOR,2004,0.183073510752688
EL SALVADOR,2009,0.569205768526575
EL SALVADOR,2014,0.503274119652875
EL SALVADOR,2019,0.553331668851953
GUATEMALA,2007,0.572799229094988
GUATEMALA,2011,0.922554363168027
GUATEMALA,2015,0.571922781691206
GUATEMALA,2019,0.535159643410306
HONDURAS,2005,0.507189856064069
HONDURAS,2009,0.441386418427734
HONDURAS,2013,0.412419158169279
HONDURAS,2017,0.401946386407684
HONDURAS,2021,0.512694086116388
MEXICO,2006,0.600744121701451
MEXICO,2012,0.501144771297739
MEXICO,2018,0.726673693647691
NICARAGUA,2006,0.629320465403342
NICARAGUA,2011,0.465730457304759
NICARAGUA,2016,0.498697101314836
NICARAGUA,2021,0.517667655070859
PANAMA,2004,0.808753560553633
PANAMA,2009,0.708346708571101
PANAMA,2014,0.733611480143977
PANAMA,2019,0.339848947433694
PARAGUAY,2008,0.818494880620452
PARAGUAY,2013,0.642139898889858
PARAGUAY,2018,0.449317005399277
PERU,2006,0.523355252338917
PERU,2011,0.526846738579724
PERU,2016,0.501719647818074
PERU,2021,0.591977300366311
REPÚBLICA DOMINICANA,2004,0.634110936178945
REPÚBLICA DOMINICANA,2008,0.604188656598089
REPÚBLICA DOMINICANA,2012,0.278669887191627
REPÚBLICA DOMINICANA,2016,0.00302300777347954
REPÚBLICA DOMINICANA,2020,0.337243743319027
URUGUAY,2004,0.434345092389209
URUGUAY,2009,0.405680828595575
URUGUAY,2014,0.271052677799413
URUGUAY,2019,0.257535708207138
VENEZUELA,2006,0.934437968895855
VENEZUELA,2012,0
VENEZUELA,2013,0.753340424641662
VENEZUELA,2018,0.823906062266768
