Country,Year,Index_ponderado.sum
ARGENTINA,2007,0.629130206275472
ARGENTINA,2011,0.446551851491872
ARGENTINA,2015,0.729786044274774
ARGENTINA,2019,0.793637445928227
BOLIVIA,2005,0.61429785989843
BOLIVIA,2009,0.657521634582402
BOLIVIA,2014,0.587842775132704
BOLIVIA,2019,0.000852968294313837
BOLIVIA,2020,0.484246800366589
BRASIL,2006,0.544322863015502
BRASIL,2010,0.91478920536821
BRASIL,2014,0.953390189287669
BRASIL,2018,0.849571317381675
BRASIL,2022,0.700890321009984
CHILE,2005,0.504220178300368
CHILE,2009,0.591385644932672
CHILE,2013,0.41234637935361
CHILE,2017,0.066743520398516
CHILE,2021,0.454545828787405
COLOMBIA,2006,0.524168472382917
COLOMBIA,2010,0.541495962960266
COLOMBIA,2014,0.533281407972655
COLOMBIA,2018,0.611172998925466
COLOMBIA,2022,0.866123647613021
COSTA RICA,2006,0.500840693972488
COSTA RICA,2010,0.496308170555554
COSTA RICA,2014,0.364436489617688
COSTA RICA,2018,0.544324450674976
COSTA RICA,2022,0.409931890460172
ECUADOR,2006,0.628912941233626
ECUADOR,2009,0.939935191192266
ECUADOR,2013,0.856971804886392
ECUADOR,2017,0.725962935785789
ECUADOR,2021,0.563795052498027
EL SALVADOR,2004,0.154967952321205
EL SALVADOR,2009,0.542091374615819
EL SALVADOR,2014,0.492490910817194
EL SALVADOR,2019,0.443646981671159
GUATEMALA,2007,0.552369611867951
GUATEMALA,2011,0.923685429423606
GUATEMALA,2015,0.566314069639059
GUATEMALA,2019,0.539404479819184
HONDURAS,2005,0.567846486967618
HONDURAS,2009,0.488843416634279
HONDURAS,2013,0.396760430767414
HONDURAS,2017,0.447441861656984
HONDURAS,2021,0.500914780013126
MEXICO,2006,0.588019773737158
MEXICO,2012,0.540083160640084
MEXICO,2018,0.755632207940207
NICARAGUA,2006,0.659878145216663
NICARAGUA,2011,0.432153558242485
NICARAGUA,2016,0.545554296822172
NICARAGUA,2021,0.517496900778555
PANAMA,2004,0.810215521327014
PANAMA,2009,0.657782848106239
PANAMA,2014,0.648275843577866
PANAMA,2019,0.377582738183386
PARAGUAY,2008,0.82150769280305
PARAGUAY,2013,0.617625280603166
PARAGUAY,2018,0.362421103489772
PERU,2006,0.569408959763741
PERU,2011,0.565464060608465
PERU,2016,0.486097855772544
PERU,2021,0.618337101036601
REPÚBLICA DOMINICANA,2004,0.162171012345679
REPÚBLICA DOMINICANA,2008,0.542278360670324
REPÚBLICA DOMINICANA,2012,0.30894014865579
REPÚBLICA DOMINICANA,2016,0.00302300777347954
REPÚBLICA DOMINICANA,2020,0.299285754123315
URUGUAY,2004,0.401644677464987
URUGUAY,2009,0.447379890007672
URUGUAY,2014,0.282352132662221
URUGUAY,2019,0.26388764133801
VENEZUELA,2006,0.926978093802719
VENEZUELA,2012,0
VENEZUELA,2013,0.74033084309889
VENEZUELA,2018,0.803676994740465
