GEO_code,Year,Index_ponderado.sum
AR,2007,0.593454688199557
AR,2011,0.512823116304979
AR,2015,0.908024997552742
AR,2019,0.842886582363999
BO,2005,0.477806022184209
BO,2009,0.473635362165087
BO,2014,0.42993521731352
BO,2019,0.588825625650428
BO,2020,0.576467325929756
BR,2006,0.333880943068076
BR,2010,0.672746487205242
BR,2014,0.651336409441551
BR,2018,0.810742731182733
BR,2022,0.626244262245819
CL,2005,0.590122191239497
CL,2009,0.565998717289168
CL,2013,0.555609473399391
CL,2017,0.609032134368866
CL,2021,0.658108487487427
CO,2006,0.710253290343337
CO,2010,0.542683345622985
CO,2014,0.510034610165236
CO,2018,0.871484562797264
CO,2022,0.736253067131791
CR,2006,0.562096640546866
CR,2010,0.501737735463434
CR,2014,0.499510626108196
CR,2018,0.40672687335241
CR,2022,0.467871978551459
DO,2004,0.483230375081105
DO,2008,0.462029583524969
DO,2012,0.494228778779131
DO,2016,0.415489880562543
DO,2020,0.38395047115191
EC,2006,0.497865119067214
EC,2009,0.524986422687082
EC,2013,0.597467403187647
EC,2017,0.664776582763827
EC,2021,0.718467324294986
GT,2007,0.540548514450613
GT,2011,0.48885046453798
GT,2015,0.467348678943476
GT,2019,0.47605005840087
HN,2005,0.552505759781254
HN,2009,0.541788007309758
HN,2013,0.465101368546937
HN,2017,0.683353991784947
HN,2021,0.477122862139898
MX,2006,0.473838829006258
MX,2012,0.159221100441201
MX,2018,0.182161145995477
NI,2006,0.486191777674208
NI,2011,0.398398908749635
NI,2016,0.523792385081415
NI,2021,0.407550178404644
PA,2004,0.581582039197285
PA,2009,0.586867402515288
PA,2014,0.617309565716028
PA,2019,0.377382262098666
PE,2006,0.59432098459593
PE,2011,0.565636605077557
PE,2016,0.54343770498782
PE,2021,0.68121470679361
PY,2008,0.700123163684096
PY,2013,0.605738461543578
PY,2018,0.426040035185178
SV,2004,0.469398101568161
SV,2009,0.514613152521774
SV,2014,0.242544961373909
SV,2019,0.4258738136106
UY,2004,0.509486100953482
UY,2009,0.486443635497821
UY,2014,0.411038165742314
UY,2019,0.355039498203548
VE,2006,0.698447274942108
VE,2012,0.859011948284706
VE,2013,0.763002109790661
VE,2018,0.89081135188367
