GEO_code,Year,Index_ponderado.sum
AR,2007,0.52452233077799
AR,2011,0.513089875791742
AR,2015,0.905077744673703
AR,2019,0.84796652182697
BO,2005,0.505914973517948
BO,2009,0.543765764099352
BO,2014,0.416979194194955
BO,2019,0.56172547622418
BO,2020,0.545686190797399
BR,2006,0.306387152943567
BR,2010,0.674499119440142
BR,2014,0.653704404955228
BR,2018,0.808194056297244
BR,2022,0.627040945973129
CL,2005,0.516643580514782
CL,2009,0.540840447391928
CL,2013,0.50795455337203
CL,2017,0.599020389722843
CL,2021,0.639504391095705
CO,2006,0.581476366188117
CO,2010,0.52645827984266
CO,2014,0.538985521048919
CO,2018,0.872602330001008
CO,2022,0.723773628251647
CR,2006,0.555456876008956
CR,2010,0.485377857434254
CR,2014,0.507031204122925
CR,2018,0.409129458489152
CR,2022,0.464783727136412
DO,2004,0.562695891726675
DO,2008,0.473449794425785
DO,2012,0.434965289439266
DO,2016,0.501134552223392
DO,2020,0.41161065244049
EC,2006,0.527644374450395
EC,2009,0.561392531318212
EC,2013,0.518177484928851
EC,2017,0.642553715908498
EC,2021,0.71260505602765
GT,2007,0.489770858730403
GT,2011,0.482140657494139
GT,2015,0.454476914271053
GT,2019,0.47606096939352
HN,2005,0.51928256081078
HN,2009,0.525914027861568
HN,2013,0.475750990662346
HN,2017,0.732182497998184
HN,2021,0.494856512494662
MX,2006,0.488548722966514
MX,2012,0.167382228985133
MX,2018,0.172786080855271
NI,2006,0.52175310764738
NI,2011,0.513692793815297
NI,2016,0.46340087822683
NI,2021,0.536649359104902
PA,2004,0.502448734385456
PA,2009,0.611683714098698
PA,2014,0.562017120176646
PA,2019,0.373613067693044
PE,2006,0.60904215144982
PE,2011,0.550451464965884
PE,2016,0.499219312971287
PE,2021,0.687133852036142
PY,2008,0.703864228259603
PY,2013,0.574767085727072
PY,2018,0.485343760087567
SV,2004,0.532123534230913
SV,2009,0.482380242521323
SV,2014,0.249918512594212
SV,2019,0.3598837398544
UY,2004,0.438240939057887
UY,2009,0.498784855647546
UY,2014,0.411804212506485
UY,2019,0.366862255045662
VE,2006,0.548250893398005
VE,2012,0.865717083766372
VE,2013,0.768817114779746
VE,2018,0.882011760558713
